Genobysite,Genobysiteramp,Site,Species,Treatment,RampType,PAM,Replicate,Geno,Color_1,Color_2,ColorChange,avg_26_bygeno,sd_26_bygeno,PAMChange
8_Pavona_clavus_Floreana,8_Pavona_clavus_Floreana_Cold,Floreana,Pavona_clavus,16,Cold,0.496,A,8,4,4.5,0.5,0.528,0.016970562748477157,-0.03200000000000003
8_Pavona_clavus_Floreana,8_Pavona_clavus_Floreana_Cold,Floreana,Pavona_clavus,16,Cold,0.496,A,8,4,4.5,0.5,0.528,0.016970562748477157,-0.03200000000000003
2_Pocillopora_sp_Floreana,2_Pocillopora_sp_Floreana_Cold,Floreana,Pocillopora_sp,14,Cold,0.501,A,2,3,2.5,-0.5,0.5745,0.00777817459305203,-0.07350000000000001
2_Pocillopora_sp_Floreana,2_Pocillopora_sp_Floreana_Cold,Floreana,Pocillopora_sp,14,Cold,0.501,A,2,3,2.5,-0.5,0.5745,0.00777817459305203,-0.07350000000000001
8_Pocillopora_sp_Floreana,8_Pocillopora_sp_Floreana_Cold,Floreana,Pocillopora_sp,14,Cold,0.47,A,8,2.5,2,-0.5,0.5745,7.071067811865482e-4,-0.10450000000000004
8_Pocillopora_sp_Floreana,8_Pocillopora_sp_Floreana_Cold,Floreana,Pocillopora_sp,14,Cold,0.47,A,8,2.5,2,-0.5,0.5745,7.071067811865482e-4,-0.10450000000000004
7_Pocillopora_sp_Floreana,7_Pocillopora_sp_Floreana_Cold,Floreana,Pocillopora_sp,14,Cold,0.496,A,7,3.5,3.5,0,0.611,0.004242640687119289,-0.11499999999999999
7_Pocillopora_sp_Floreana,7_Pocillopora_sp_Floreana_Cold,Floreana,Pocillopora_sp,14,Cold,0.496,A,7,3.5,3.5,0,0.611,0.004242640687119289,-0.11499999999999999
5_Pavona_clavus_Floreana,5_Pavona_clavus_Floreana_Cold,Floreana,Pavona_clavus,14,Cold,0.391,A,5,2.5,2.5,0,0.5235000000000001,0.010606601717798222,-0.13250000000000006
5_Pavona_clavus_Floreana,5_Pavona_clavus_Floreana_Cold,Floreana,Pavona_clavus,14,Cold,0.391,A,5,2.5,2.5,0,0.5235000000000001,0.010606601717798222,-0.13250000000000006
4_Pocillopora_sp_Floreana,4_Pocillopora_sp_Floreana_Cold,Floreana,Pocillopora_sp,14,Cold,0.487,A,4,3,2.5,-0.5,0.569,0.036769552621700424,-0.08199999999999996
4_Pocillopora_sp_Floreana,4_Pocillopora_sp_Floreana_Cold,Floreana,Pocillopora_sp,14,Cold,0.487,A,4,3,2.5,-0.5,0.569,0.036769552621700424,-0.08199999999999996
8_Pavona_clavus_Floreana,8_Pavona_clavus_Floreana_Cold,Floreana,Pavona_clavus,14,Cold,0.493,A,8,5,5,0,0.528,0.016970562748477157,-0.03500000000000003
8_Pavona_clavus_Floreana,8_Pavona_clavus_Floreana_Cold,Floreana,Pavona_clavus,14,Cold,0.493,A,8,5,5,0,0.528,0.016970562748477157,-0.03500000000000003
4_Pavona_clavus_Floreana,4_Pavona_clavus_Floreana_Cold,Floreana,Pavona_clavus,14,Cold,0.474,A,4,3,2,-1,0.513,0,-0.039000000000000035
4_Pavona_clavus_Floreana,4_Pavona_clavus_Floreana_Cold,Floreana,Pavona_clavus,14,Cold,0.474,A,4,3,2,-1,0.513,0,-0.039000000000000035
