Genobysite,Genobysiteramp,Site,Species,Treatment,RampType,PAM,Replicate,Geno,Color_1,Color_2,ColorChange,avg_26_bygeno,sd_26_bygeno,PAMChange
3_Pocillopora_sp_Espanola,3_Pocillopora_sp_Espanola_Heat,Espanola,Pocillopora_sp,32.5,Heat,0.47,A,3,3.5,3.5,0,0.538,0.009899494936611674,-0.06800000000000006
7_Pavona_clavus_Espanola,7_Pavona_clavus_Espanola_Heat,Espanola,Pavona_clavus,34,Heat,0.456,A,7,3.5,3,-0.5,0.49050000000000005,0.03181980515339463,-0.03450000000000003
5_Pavona_clavus_Espanola,5_Pavona_clavus_Espanola_Heat,Espanola,Pavona_clavus,34,Heat,0.462,A,5,3,2.5,-0.5,0.533,0.01131370849898477,-0.07100000000000001
5_Pocillopora_sp_Espanola,5_Pocillopora_sp_Espanola_Heat,Espanola,Pocillopora_sp,34,Heat,0.481,A,5,4,4,0,0.5505,0.017677669529663625,-0.0695
2_Pavona_clavus_Espanola,2_Pavona_clavus_Espanola_Heat,Espanola,Pavona_clavus,34,Heat,0.49,A,2,5,5,0,0.4835,7.071067811865482e-4,0.006500000000000006
4_Pavona_clavus_Espanola,4_Pavona_clavus_Espanola_Heat,Espanola,Pavona_clavus,34,Heat,0.522,A,4,3,2.5,-0.5,0.489,0.005656854249492385,0.03300000000000003
6_Pocillopora_sp_Espanola,6_Pocillopora_sp_Espanola_Heat,Espanola,Pocillopora_sp,34,Heat,0.541,A,6,3,2.5,-0.5,0.5665,0.03181980515339459,-0.025499999999999967
1_Pocillopora_sp_Espanola,1_Pocillopora_sp_Espanola_Heat,Espanola,Pocillopora_sp,34,Heat,0.571,A,1,3.5,3.5,0,0.58,0.004242640687119289,-0.009000000000000008
6_Pavona_clavus_Espanola,6_Pavona_clavus_Espanola_Heat,Espanola,Pavona_clavus,34,Heat,0.482,A,6,5,5,0,0.5565,0.0021213203435596446,-0.07450000000000001
2_Pocillopora_sp_Espanola,2_Pocillopora_sp_Espanola_Heat,Espanola,Pocillopora_sp,34,Heat,0.59,A,2,4.5,3.5,-1,0.5720000000000001,0.03818376618407352,0.017999999999999905
8_Pavona_clavus_Espanola,8_Pavona_clavus_Espanola_Heat,Espanola,Pavona_clavus,34,Heat,0.491,A,8,3,2.5,-0.5,0.492,0.021213203435596444,-0.0010000000000000009
