Site,Species,Treatment,PAM,Replicate,Geno,Color_1,Color_2,ColorChange
Floreana,Pocillopora_sp,14,0.464,B,2,2.5,2.5,0
Floreana,Pocillopora_sp,14,0.556,B,8,2,2,0
Floreana,Pavona_clavus,14,0.469,B,5,2,2,0
Floreana,Pocillopora_sp,14,0.535,B,1,3,2.5,-0.5
Floreana,Pocillopora_sp,14,0.575,B,7,2,2,0
Floreana,Pavona_clavus,14,0.447,B,6,6,5.5,-0.5
Floreana,Pocillopora_sp,14,0.476,B,6,2,2,0
Floreana,Pocillopora_sp,14,0.531,B,3,2.5,2.5,0
Floreana,Pavona_clavus,14,0.476,B,8,4.5,4.5,0
Floreana,Pavona_clavus,14,0.472,B,1,2,1.5,-0.5
Floreana,Pavona_clavus,14,0.528,B,7,4.5,4.5,0
Floreana,Pavona_clavus,14,0.462,B,3,4,2.5,-1.5
Floreana,Pavona_clavus,12,0.457,B,2,3.5,2,-1.5
Floreana,Pavona_clavus,12,0.44,B,3,4,3,-1
Floreana,Pavona_clavus,12,0.442,B,4,2.5,2,-0.5
Floreana,Pocillopora_sp,12,0.495,B,6,2,1.5,-0.5
Floreana,Pocillopora_sp,12,0.487,B,5,2.5,1.5,-1
Floreana,Pavona_clavus,12,0.5,B,8,5,4,-1
Floreana,Pocillopora_sp,12,0.578,B,3,3,3,0
Floreana,Pavona_clavus,12,0.49,B,7,2.5,2,-0.5
Floreana,Pocillopora_sp,12,0.55,B,8,2.5,1.5,-1
Floreana,Pocillopora_sp,12,0.538,B,2,3,2,-1
Floreana,Pavona_clavus,12,0.466,B,6,5,4.5,-0.5
Floreana,Pavona_clavus,12,0.487,B,5,2.5,2.5,0
Floreana,Pocillopora_sp,12,0.531,B,1,2,1.5,-0.5
Floreana,Pocillopora_sp,12,0.469,B,7,2.5,1.5,-1
Floreana,Pocillopora_sp,12,0.534,B,4,3,3,0
Floreana,Pavona_clavus,12,0.421,B,1,2,1.5,-0.5
Isabela,Pavona_clavus,26,0.499,A,2,5.5,5,-0.5
Isabela,Pavona_clavus,26,0.566,A,8,4.5,3.5,-1
Isabela,Pocillopora_sp,26,0.581,A,1,5,4,-1
Isabela,Pavona_clavus,26,0.508,A,5,2.5,3,0.5
Isabela,Pocillopora_sp,26,0.617,A,4,3,2.5,-0.5
Isabela,Pocillopora_sp,26,0.594,A,6,2.5,2.5,0
Isabela,Pocillopora_sp,26,0.599,A,7,3.5,2.5,-1
Isabela,Pavona_clavus,26,0.488,A,6,2.5,3,0.5
Isabela,Pocillopora_sp,26,0.627,A,2,3,4.5,1.5
Isabela,Pavona_clavus,26,0.572,A,4,5,4.5,-0.5
Isabela,Pavona_clavus,26,0.576,A,1,5.5,5,-0.5
Isabela,Pavona_clavus,26,0.508,A,7,2.5,3,0.5
Isabela,Pavona_clavus,26,0.489,A,3,2,2,0
Isabela,Pocillopora_sp,26,0.604,A,3,3,2.5,-0.5
Isabela,Pocillopora_sp,26,0.625,A,8,3,2.5,-0.5
Isabela,Pocillopora_sp,26,0.549,A,5,3.5,3.5,0
Isabela,Pocillopora_sp,32.5,0.601,A,6,4,3.5,-0.5
Isabela,Pocillopora_sp,32.5,0.625,A,3,3.5,3.5,0
Isabela,Pavona_clavus,32.5,0.495,A,2,6,6,0
Isabela,Pocillopora_sp,32.5,0.595,A,1,2,2.5,0.5
Isabela,Pavona_clavus,32.5,0.551,A,7,5.5,5,-0.5
Isabela,Pavona_clavus,32.5,0.554,A,4,5,5,0
Isabela,Pavona_clavus,32.5,0.531,A,6,2,2,0
Isabela,Pavona_clavus,32.5,0.547,A,3,3,3,0
Isabela,Pocillopora_sp,32.5,0.589,A,7,3,3,0
Isabela,Pocillopora_sp,32.5,0.491,A,4,3,3,0
Isabela,Pocillopora_sp,32.5,0.6,A,8,2.5,2.5,0
Isabela,Pocillopora_sp,32.5,0.538,A,5,3,3,0
Isabela,Pavona_clavus,32.5,0.553,A,8,2.5,3,0.5
Isabela,Pavona_clavus,32.5,0.553,A,5,5.5,5,-0.5
Isabela,Pavona_clavus,32.5,0.48,A,1,5,5,0
Isabela,Pocillopora_sp,32.5,0.614,A,2,3.5,2.5,-1
Isabela,Pocillopora_sp,34,0.389,A,4,3,3,0
Isabela,Pocillopora_sp,34,0.59,A,2,3,2.5,-0.5
Isabela,Pavona_clavus,34,0.51,A,8,2.5,2,-0.5
Isabela,Pocillopora_sp,34,0.546,A,5,3,2.5,-0.5
Isabela,Pocillopora_sp,34,0.331,A,3,3,2,-1
Isabela,Pavona_clavus,34,0.533,A,5,4.5,2.5,-2
Isabela,Pavona_clavus,34,0.408,A,4,2.5,2,-0.5
Isabela,Pavona_clavus,34,0.477,A,2,5,4,-1
Isabela,Pocillopora_sp,34,0.504,A,6,2.5,2,-0.5
Isabela,Pavona_clavus,34,0.52,A,6,2.5,1.5,-1
Isabela,Pavona_clavus,34,0.548,A,1,3.5,2,-1.5
Isabela,Pocillopora_sp,34,0.547,A,7,2.5,2,-0.5
Isabela,Pocillopora_sp,34,0.571,A,1,2.5,2,-0.5
Isabela,Pocillopora_sp,34,0.561,A,8,3,2,-1
Isabela,Pavona_clavus,34,0.532,A,3,3,2,-1
Isabela,Pavona_clavus,34,0.501,A,7,2.5,2.5,0
Isabela,Pavona_clavus,35.5,0.429,A,5,2.5,1,-1.5
Isabela,Pocillopora_sp,35.5,0.443,A,1,3.5,1,-2.5
Isabela,Pavona_clavus,35.5,0.261,A,6,2.5,1,-1.5
Isabela,Pavona_clavus,35.5,0.256,A,3,2.5,2,-0.5
Isabela,Pocillopora_sp,35.5,0.482,A,7,2.5,1.5,-1
Isabela,Pavona_clavus,35.5,0.294,A,4,5,3,-2
Isabela,Pavona_clavus,35.5,0.463,A,7,3.5,2.5,-1
Isabela,Pocillopora_sp,35.5,0.466,A,2,3,1,-2
Isabela,Pocillopora_sp,35.5,0.445,A,3,3,1,-2
Isabela,Pocillopora_sp,35.5,0.363,A,5,2.5,1,-1.5
Isabela,Pavona_clavus,35.5,0.179,A,8,3,2,-1
Isabela,Pavona_clavus,35.5,0.469,A,1,2.5,1.5,-1
Isabela,Pocillopora_sp,35.5,0.478,A,6,3,1.5,-1.5
Isabela,Pavona_clavus,35.5,0.377,A,2,4.5,3,-1.5
Isabela,Pocillopora_sp,35.5,0.493,A,4,3,2.5,-0.5
Isabela,Pocillopora_sp,35.5,0.51,A,8,2.5,1.5,-1
Isabela,Pavona_clavus,26,0.548,B,4,6,5.5,-0.5
Isabela,Pocillopora_sp,26,0.645,B,4,3.5,2.5,-1
Isabela,Pavona_clavus,26,0.442,B,1,5.5,3,-2.5
Isabela,Pavona_clavus,26,0.537,B,8,5.5,4,-1.5
Isabela,Pavona_clavus,26,0.53,B,2,6,6,0
Isabela,Pocillopora_sp,26,0.59,B,8,2.5,2.5,0
Isabela,Pavona_clavus,26,0.537,B,6,4,3,-1
Isabela,Pavona_clavus,26,0.522,B,3,3,3,0
Isabela,Pavona_clavus,26,0.552,B,7,5.5,3.5,-2
Isabela,Pocillopora_sp,26,0.606,B,3,3,2.5,-0.5
Isabela,Pocillopora_sp,26,0.564,B,6,4.5,3.5,-1
Isabela,Pocillopora_sp,26,0.574,B,7,4,2.5,-1.5
Isabela,Pocillopora_sp,26,0.584,B,1,4,4,0
Isabela,Pocillopora_sp,26,0.622,B,2,3,2.5,-0.5
Isabela,Pavona_clavus,26,0.536,B,5,3,3,0
Isabela,Pocillopora_sp,26,0.571,B,5,3,3,0
Isabela,Pocillopora_sp,32.5,0.491,B,8,3,2.5,-0.5
Isabela,Pavona_clavus,32.5,0.469,B,3,3.5,4,0.5
Isabela,Pavona_clavus,32.5,0.524,B,4,5,3.5,-1.5
Isabela,Pocillopora_sp,32.5,0.44,B,2,3.5,3,-0.5
Isabela,Pocillopora_sp,32.5,0.608,B,1,3,3.5,0.5
Isabela,Pocillopora_sp,32.5,0.545,B,3,3.5,3,-0.5
